,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000,-0.3451510745044612,1.0229716648461236,-0.41344366756803863,ArgusCoin,0
LMC,Scrypt,PoW/PoS,500000.0,1000000000,-0.33825008412201296,1.0224480811877472,-0.4135673829574341,LomoCoin,0
PROC,SHA-256,PoS,100545745.0,75000000000,0.2695944658951561,0.5932230218499576,-0.07468341756026686,ProCurrency,0
XGR,X11,PoW/PoS,17171382.0,40000000,-0.3861854720398479,1.2921667632201288,-0.43233633323119214,GoldReserve,0
BENJI,Scrypt,PoW,20276099.146524,35520400,-0.17854044344990191,-1.1232588361158766,0.02368322380393743,BenjiRolls,3
GRW,Scrypt,PoS,295135466.361878,2000000000,-0.28633070545784484,0.8064133333327127,-0.20296969417072194,GrowthCoin,0
ILC,SHA-256,PoW,1317747500.0,2500000000,-0.10602405431272816,-1.2979444008665113,0.16047305067243497,ILCoin,3
PHR,PoS,PoS,11390225.9742772,30000000,-0.35925478613167405,1.5418606097457261,-0.10734281052870295,Phreak,0
DEA,Scrypt,PoW/PoS,21358764.0,105000000,-0.34436030334649986,1.0229373023407977,-0.4134601240111699,Degas Coin,0
HTML5,X15,PoW/PoS,40659020000.0,90000000000,0.9114317671519492,1.7865795418307981,-0.5331361035356684,HTML5 Coin,0
USC,SHA-256,PoS,10343113.0,200084200,-0.26351204223036506,0.6334929584738972,-0.06511054500042054,Ultimate Secure Cash,0
EQT,Scrypt,PoW,13673406.4325268,72000000,-0.17836180925635792,-1.1232807118896169,0.023680761693397674,EquiTrader,3
QTUM,POS 3.0,PoS,100000000.0,100000000,-0.3702800289403108,1.5453731017399928,-0.1270906018946323,QTUM,0
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000,-0.14120671574655547,-2.2063705465342816,0.3354090901096355,Quantum Resistant Ledger,3
ESP,536,PoW/PoS,22801882871.0,50000000000,0.6027816065184181,1.8219706978818635,-0.52430009730069,Espers,0
DYN,Argon2d,PoW,19784224.6512734,0,-0.1478448725502713,-2.218009261213573,0.2710971394368511,Dynamic,3
NANO,Blake2b,PoW,133248297.0,340282367,-0.02798207820463614,-2.2451312963435384,0.33695515657040936,Nano,3
CHAN,Cloverhash,PoW,18407259.0885883,30000000,-0.16941670468483805,-2.0932294012096078,0.3427535303076238,ChanCoin,3
DCY,CryptoNight,PoW,1809467143.0,2000000000,0.34561049515861264,-2.3002852362247816,0.2965657980512729,Dinastycoin,3
DNR,NIST5,PoW/PoS,4171382.0,10000000,-0.3491011322372751,1.466259286706909,-0.4493204938136378,Denarius,0
DP,X11,PoW,35138975.0,100000000,-0.21921152222301943,-0.8540927260225013,0.004784171430360306,DigitalPrice,3
VUC,NIST5,PoW/PoS,62942075.0,120000000,-0.34759938483295544,1.4662197950950067,-0.44935403799678486,Virta Unique Coin,0
BTPL,Skein,PoW/PoS,6804362.0,100000000,-0.4121957005371946,1.9070462721276014,-0.5209817926178868,Bitcoin Planet,0
UNIFY,Scrypt,PoW,18133195.0,19276800,-0.1786822039315457,-1.1232508054654684,0.023686007544896512,Unify,3
BRIT,X13,PoW/PoS,21268092.0,30000000,-0.2755964646777075,1.781212314348489,-0.47224393363281014,BritCoin,0
SOCC,Scrypt,PoW,5167775.0, 75000000,-0.17844458649532483,-1.1232851899589407,0.02368320261941921,SocialCoin,3
ARC,X11,PoW,26042364.3735553,60000000,-0.21960736400200964,-0.8540742356260488,0.004792294460874703,ArcticCoin,3
DAS,X11,PoW,2622886.0,18900000,-0.22018635022687338,-0.8540599715506348,0.004805312674843571,DAS,3
LINDA,Scrypt,PoW/PoS,9044930943.24243,50000000000,0.1209640354336802,0.9990911584193476,-0.4228213055673725,Linda,0
XLC,CryptoNight,PoW,14161803.0,54000000,0.3097942212198091,-2.2998408171016673,0.2974100655478128,LeviarCoin,3
ONION,X13,PoW/PoS,21917018.0492836,18898187.6216583,-0.2756674812714788,1.7812185140548236,-0.472242732698157,DeepOnion,0
BTX,Time Travel,PoW,17801865.1605478,21000000,-0.14977442870315583,-2.190467425019616,0.46535607634021,Bitcore,3
GCN,Scrypt,PoW,163055097500.0,200000000000,3.2393230940445608,-1.17614102642947,-0.0559517447386577,gCn Coin,3
SMART,Keccak,PoW,2241009149.22257,5000000000,-0.1157802125845287,-1.2243129125757313,0.10152682160683578,SmartCash,3
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000,-0.3342793050237004,1.4597855457890423,-0.1843721350786265,Signatum,0
ONX,X11,PoW,122475638.389743,1100000000,-0.21103012758249431,-0.8546021158109635,0.004627598379907931,Onix,3
CRM,Skein,PoW/PoS,47331802.4774238,100000000,-0.41169961928017546,1.9070599077097652,-0.5209952467491991,Cream,0
BCH,SHA-256,PoW,17995589.6469082,21000000,-0.1395653206480468,-1.2970460844691205,0.16122080621395082,Bitcoin Cash,3
XMCC,X11,PoW/PoS,12569262.5359307,9507271,-0.3864586794957736,1.292181643527006,-0.43233091519499467,Monoeci,0
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116,-0.3038157797307526,0.8073884845257093,-0.20262497394605455,Draftcoin,0
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466,4.465233861851905,2.749219389132276,3.4423611409857,Vechain,0
SOJ,Scrypt,PoW,485214.0,10500000000,-0.1043557680787627,-1.128903489352445,0.022354741998809113,Sojourn Coin,3
STCN,PoS,PoS,4000000.0,61599965,-0.35912049745769953,1.5418410980267951,-0.10734438865637728,Stakecoin,0
NYC,Scrypt,PoW,143006669741.687,0,1.5714499454096977,-1.0751314861260266,-0.023780273426951264,NewYorkCoin,3
FRAZ,Scrypt,PoW,9704042.0,20000000,-0.17878023840042684,-1.1232540311216572,0.023688713554676024,FrazCoin,3
KRONE,Scrypt,PoW,17453749.4042601,84000000,-0.17823018742035657,-1.1232859052753152,0.02367797575819047,Kronecoin,3
ACC,Scrypt,PoW,32646731.063036,100000000,-0.1779304183814791,-1.1232894139414906,0.023670890785056267,AdCoin,3
LINX,Scrypt,PoW,33716526.0,100000000,-0.1779173234213527,-1.1232890540056897,0.02367053563897772,Linx,3
XCXT,Scrypt,PoW/PoS,19539588.0,48252000,-0.3447861822237212,1.022967264647498,-0.4134522802135809,CoinonatX,0
ETHD,Scrypt,PoW/PoS,4200000.0,4200000,-0.34528726115457525,1.0229858376891714,-0.4134415677136962,Ethereum Dark,0
SUMO,CryptoNight,PoW,8946653.0,88888888,0.30997852612202753,-2.2998613689973606,0.297407345748671,Sumokoin,3
ODN,SHA-512,PoS,25000000.0,91388946,-0.2495074750130532,1.6386002443746253,-0.25505330369615153,Obsidian,0
ADA,Ouroboros,PoS,25927070538.0,45000000000,0.6429785546211354,1.4680130755080611,-0.12073290753080271,Cardano,0
REC,X11,PoW/PoS,7262402.04264803,27000000,-0.3863992245705833,1.2921704333815167,-0.43233138515715297,Regalcoin,0
BTCZ,Equihash,PoW,5211553258.01514,21000000000,0.07696427049081349,-2.2238766200082076,0.22242522906672296,BitcoinZ,3
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000,-0.3423901675944885,0.5162513535637493,-0.19847437473228727,TrezarCoin,0
ELM,X11,PoW,2702855668.85288,1800000000,-0.17446602228906993,-0.8541110811372463,0.0036816689665372607,Elements,3
TER,Scrypt,PoW/PoS,1140734.91680375,15733333,-0.345242679499345,1.0229785945245473,-0.4134420235271476,TerraNovaCoin,0
VIVO,NeoScrypt,PoW,4165967.57499639,27000000,-0.18090040959759754,-1.6298409391815198,0.23876658514767984,VIVO Coin,3
RUP,Lyra2REv2,PoS,24000000.0,24000000,-0.32214756345404455,0.6543287365722119,-0.04083887415367758,Rupee,0
BTG,Equihash,PoW,17202361.088994,21000000,-0.13582760167078203,-2.2143213255943266,0.22682611607326714,Bitcoin Gold,3
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000,0.42561423263558856,1.0258216642438773,-0.43271649660928313,WomenCoin,0
MAY,SHA-256,PoW/PoS,92050800.0,100000000,-0.30442423856531253,0.8491694764766872,-0.27594798133043913,Theresa May Coin,0
NAMO,NIST5,PoW/PoS,560563220.0,1200000000,-0.3338268640095791,1.4658053448257333,-0.44965702193587404,NamoCoin,0
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000,-0.38890984080250174,1.8601159713306783,-0.5081271907231248,LUXCoin,0
PIRL,Dagger,PoW,33986980.0,156306732.71,-0.1484968000008622,-2.2567190248133007,0.34640961004015874,Pirl,3
XIOS,Scrypt,PoW/PoS,2149688.0,21000000,-0.3451928709595945,1.0229760964441565,-0.4134430303933519,Xios,0
BTDX,Quark,PoW/PoS,30711550.5294042,200000000,-0.39901592330163504,1.7004990180601391,-0.4577285541920215,Bitcloud 2.0,0
EBST,Scrypt,PoW,99990001.493466,100000000,-0.17710609456893764,-1.1232667560907532,0.023648534445927075,eBoost,3
KEK,POS 2.0,PoS,12330806.30517,21000000,-0.3304783104150928,1.3697061881964927,-0.14411341843363484,KekCoin,0
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.991,-0.34506307657537566,1.0229842251220234,-0.4134469562306204,BlackholeCoin,0
XIN,SHA-256,PoS,8999999990.0,9000000000,-0.09088502523681832,0.6317763861760137,-0.0692175818118967,Infinity Economics,0
PURA,X11,PoW,175215859.0,350000000,-0.21571880862783518,-0.8541802903429351,0.004705774441433238,Pura,3
INN,NeoScrypt,PoW,6375259.04,45000000,-0.18074534438106543,-1.6298498937992043,0.23876355528729776,Innova,3
ELLA,Ethash,PoW,12756367.0,280000000,-0.15476606219728956,-1.9684009295426668,0.3027016351521227,Ellaism,3
GBX,NeoScrypt,PoW,5832306.875,31800000,-0.18084587333276547,-1.629842964654025,0.2387654195822205,GoByte,3
MAG,X11,PoW/PoS,38198594.8342105,144000000,-0.3851884025095641,1.2921178053449505,-0.4323565820142783,Magnet,0
TAU,DPoS,DPoS,288090567.493887,500000000,3.654461446488862,2.010763900889591,0.13431258202328067,Lamden Tau,0
ECA,NIST5,PoW/PoS,28399150208.0,30000000000,0.21177024648713247,1.4596550181923678,-0.46257304675279887,Electra,0
BCD,X13,PoW/PoS,183534024.889807,210000000,-0.27233000696756626,1.7811699298153392,-0.47232076629285397,Bitcoin Diamond,0
XSH,Multiple,PoW,481730566.566176,660000000,-0.11362944746085685,-1.853753359888635,0.26891799482817963,SHIELD,3
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000,-0.3425165246673949,1.0229108833444902,-0.41350327092900435,Cash & Back Coin,0
XUN,CryptoNight,PoW,19281821413.4924,85000000000,1.1498072072617294,-2.3391248904801465,0.2801763092852909,UltraNote,3
COAL,CryptoNight,PoW,4500000.0,12500000,0.30938079262337925,-2.299821708704212,0.29741856757762486,BitCoal,3
DAXX,Ethash,PoW,520891780.0,10000000000,-0.07941422967824496,-1.9734668537425872,0.3012928748194827,DaxxCoin,3
